id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
26543,viel komplizierter,1075.43,455.714,160.0,120.0,negative strong,893,29.0,,,1,1703
26542,Umweltfaktor ist mies ,401.0,462.571,160.0,120.0,negative,893,28.0,,21:09:08,1,1703
26541,"Don't drink and Drive""!",-5.85713,401.286,160.0,120.0,negative weak,893,27.0,,21:09:23,1,1703
26540,alkoholisiert fahren,930.429,215.714,160.0,120.0,positive,893,26.0,,20:59:12,1,1703
26539,fahrzeitgebunden,595.696,573.857,160.0,120.0,negative,893,25.0,,20:58:54,1,1703
26538,spontan,-12.0,260.424,160.0,120.0,positive strong,893,24.0,,20:58:37,1,1703
26537,Bechränktes Tragevermögen,1001.86,544.286,160.0,120.0,negative strong,893,23.0,,,1,1703
26536,Mehr Kapazität zum Einkaufen,313.0,141.0,160.0,120.0,positive,893,22.0,,,1,1703
26535,Gesundheitsrisiko,729.0,621.143,160.0,120.0,negative weak,893,21.0,,,1,1703
26534,viele Leute,871.429,590.0,160.0,120.0,negative,893,20.0,,,1,1703
26533,umweltschonend,940.429,349.571,160.0,120.0,positive strong,893,12.0,,20:54:53,1,1703
26532,Verschleiß ,288.571,554.0,160.0,120.0,negative weak,893,10.0,,21:09:14,1,1703
26531,hab ich sowieso,762.0,63.0,160.0,120.0,positive strong,893,9.0,,,1,1703
26530,teuer,589.0,64.0,160.0,120.0,negative strong,893,8.0,,20:56:19,1,1703
26529,Semesterticket ,692.0,197.0,160.0,120.0,ambivalent,893,7.0,,20:55:19,1,1703
26528,keine Extrakosten,14.0,159.996,160.0,120.0,positive strong,893,6.0,,,1,1703
26527,Parkplatzsuche,17.9911,501.0,160.0,120.0,negative strong,893,5.0,,,1,1703
26526,Benzinkosten,128.996,559.991,160.0,120.0,negative strong,893,4.0,,,1,1703
26525,komfortabel,132.978,78.9554,160.0,120.0,positive strong,893,3.0,,,1,1703
26524,Eigener Pkw,263.969,313.964,160.0,120.0,neutral,893,1.0, ,,1,1703
26523,Öffentliche Verkehrsmittel,570.996,345.982,160.0,120.0,neutral,893,2.0, ,,1,1703
