id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
15461,"Es gibt auch Chancen durch die pandemie, z.B. betreffend Tierwohl oder Umwelt",912.0,114.0,160.0,120.0,positive weak,388,13.0,,,1,561
15222,psychische Belastung,779.983,281.983,160.0,120.0,negative strong,388,5.0,,14:57:35,0,561
15221,Stress,654.983,36.0,160.0,120.0,negative strong,388,6.0,,14:57:31,0,561
15219,Angst,250.0,414.0,160.0,120.0,negative strong,388,7.0,,14:57:41,0,561
15218,Corona-Pandemie,519.983,256.983,160.0,120.0,negative strong,388,1.0,,14:58:26,0,561
15213,Befinden,308.983,42.9833,160.0,120.0,negative strong,388,4.0,,14:57:58,0,561
15212,wirtschaftliche Folgen,565.967,488.967,160.0,120.0,negative strong,388,11.0,,14:57:38,0,561
