id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31109,31186,31190,Solid-Weak,1193,0,none,18:29:07,2152
31107,31186,31190,Solid-Weak,1193,0,none,18:29:01,2152
31103,31157,31206,Solid-Weak,1193,0,uni,18:28:49,2152
31098,31170,31173,Solid-Weak,1193,0,none,18:28:17,2152
31094,31164,31214,Solid-Weak,1193,0,none,18:27:47,2152
31089,31155,31256,Solid-Weak,1193,0,none,18:26:57,2152
31082,31157,31249,Dashed-Weak,1193,0,none,18:26:15,2152
31081,31166,31249,Solid-Weak,1193,0,none,18:26:01,2152
31080,31166,31173,Solid-Weak,1193,0,none,18:25:38,2152
31065,31165,31170,Solid-Weak,1193,0,none,18:24:02,2152
31063,31164,31190,Dashed-Weak,1193,0,none,18:23:53,2152
31058,31164,31230,Solid-Weak,1193,0,none,18:23:34,2152
31048,31173,31178,Dashed-Weak,1193,0,none,18:22:37,2152
31040,31164,31186,Dashed-Weak,1193,0,none,18:22:17,2152
31034,31164,31214,Solid-Weak,1193,0,none,18:21:23,2152
31029,31157,31206,Solid-Weak,1193,0,none,18:20:47,2152
31017,31164,31198,Solid-Weak,1193,0,none,18:19:59,2152
31005,31186,31190,Solid-Weak,1193,0,none,18:19:10,2152
31004,31182,31190,Solid-Weak,1193,0,none,18:19:08,2152
30990,31151,31182,Solid-Weak,1193,0,none,18:18:17,2152
30982,31160,31178,Solid-Weak,1193,0,none,18:17:48,2152
30972,31151,31160,Solid-Weak,1193,0,none,18:16:59,2152
30969,31151,31165,Solid-Weak,1193,0,none,18:16:58,2152
30968,31151,31155,Solid-Weak,1193,0,none,18:16:56,2152
30967,31151,31157,Solid-Weak,1193,0,none,18:16:54,2152
30966,31151,31164,Solid-Weak,1193,0,none,18:16:52,2152
30964,31151,31166,Solid-Weak,1193,0,none,18:16:50,2152
30963,31151,31170,Solid-Weak,1193,0,none,18:16:48,2152
30962,31170,31173,Solid-Weak,1193,0,none,18:16:44,2152
